date,source,text
2026-01-05,amazon,"This product completely exceeded my expectations, I absolutely love it!"
2026-01-06,amazon,"Terrible quality, broke after two days. Very disappointed and angry."
2026-01-07,twitter,"Just an average day, nothing special about this gadget."
2026-01-08,amazon,"Fast shipping and great customer service, would buy again!"
2026-01-09,news,"The company announced a new product line amid mixed public reaction."
2026-01-10,twitter,"I'm so frustrated with the customer support, they never respond."
2026-01-11,amazon,"Works exactly as described, no complaints so far."
2026-01-12,twitter,"Can't believe how amazing this update is, best decision ever!"
2026-01-13,amazon,"Package arrived damaged and support was unhelpful, feeling ripped off."
2026-01-14,news,"Public sentiment appears cautiously optimistic following the announcement."
2026-01-15,twitter,"This is the worst experience I've had with a brand, never again."
2026-01-16,amazon,"Decent value for the price, does the job."
2026-01-17,twitter,"So excited for the new release, can't wait to try it!"
2026-01-18,news,"Analysts remain neutral on the impact of the policy change."
2026-01-19,amazon,"I'm scared this won't last long, quality feels cheap."
2026-01-20,twitter,"Feeling grateful and happy with how this turned out."
